Ref,Val,Package,PosX,PosY,Rot,Side
"C1","EEEFPC101XAP","CAP_EEEFPC101XAP",137.000000,-80.000000,180.000000,top
"C2","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.500000,-79.000000,90.000000,top
"C3","EEEFPC101XAP","CAP_EEEFPC101XAP",148.000000,-80.000000,0.000000,top
"R1","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",154.587500,-105.250000,0.000000,top
