Ref,Val,Package,PosX,PosY,Rot,Side
"C4","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",135.500000,-97.000000,180.000000,bottom
"C5","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.000000,-103.000000,180.000000,bottom
"C6","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.750000,-98.000000,-90.000000,bottom
"D1","TPD1E10B06DPYR","D_0402_1005Metric_Pad0.77x0.64mm_HandSolder",163.750000,-84.750000,-90.000000,bottom
"R2","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.750000,-103.500000,90.000000,bottom
"R3","330","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",165.750000,-90.250000,180.000000,bottom
"U3","DRV5055A3xDBZxQ1","SOT-23_Handsoldering",136.750000,-100.000000,180.000000,bottom
"U4","74LVC1G17","SOT-23-5_HandSoldering",165.750000,-94.150000,-90.000000,bottom
